Address,Asking Price,Beds,Baths,Property Type,Energy Rating,Eircode,Local Property Tax,Agency Name,Agency Contact,Price Changes,URL,MyHome_Address,MyHome_Asking_Price,MyHome_Beds,MyHome_Baths,MyHome_Floor_Area_Value,MyHome_BER_Rating,MyHome_BER_Number,MyHome_Energy_Performance_Indicator,MyHome_Latitude,MyHome_Longitude,MyHome_Monthly_Price,MyHome_Floor_Area_Unit,MyHome_Publish_Date,MyHome_Sale_Type,MyHome_Category,MyHome_Featured_Level,MyHome_Link
"73 Fforster Lawn, Lucan, Co. Dublin, K78XY03","€375,000",3 Bed,3 Bath,Semi-D,C2,K78 XY03,€405,REA McDonald,Fiachra McGrath,"Sold, €415,000, Thu Sep 12 2024; Sale Agreed, €375,000, Tue Jul 02 2024; Created, €375,000, Fri Jun 21 2024",https://mynest.ie/listing/137294/Dublin/73-fforster-lawn-lucan-co-dublin-k78xy03,,,,,,,,,53.3491137,-6.4285356,,,,,,,https://www.myhome.ie/residential/brochure/73-fforster-lawn-lucan-dublin/4807339
"72 Hillcourt Road Glenageary, Glenageary, Co. Dublin, A96HK25","€695,000",4 Bed,2 Bath,Semi-D,C3,A96 HK25,€675,Lisney Sotheby's International Realty (Dalkey),Michelle Kealy,"Sold, €760,000, Thu Sep 12 2024; Sale Agreed, €695,000, Thu May 30 2024; Created, €695,000, Tue May 07 2024",https://mynest.ie/listing/128949/Dublin/72-hillcourt-road-glenageary-glenageary-co-dublin-a96hk25,"72 Hillcourt Road, Glenageary, Co. Dublin",Sold,4 beds,2 baths,133,,,,53.2741203,-6.1311936,0,m²,,,,,https://www.myhome.ie/residential/brochure/72-hillcourt-road-glenageary-co-dublin/4827365
"Apartment 7, Sherkin Court, Drumcondra, Dublin 9, D09KT22","€325,000",2 Bed,1 Bath,Apartment,E1,D09 KT22,€315,MoveHome Estate & Letting Agent,Nigel Kennedy MIPAV,"Sold, €371,000, Thu Sep 12 2024; Sale Agreed, €325,000, Mon Jun 17 2024; Created, €325,000, Thu May 16 2024",https://mynest.ie/listing/130666/Dublin/apartment-7-sherkin-court-drumcondra-dublin-9-d09kt22,"Apt 7 Sherkin Court, Off Griffith Avenue, Drumcondra, Dublin 9",,,,,,,,53.37586750000001,-6.2538143,,,,,,,https://www.myhome.ie/residential/brochure/apt-7-sherkin-court-off-griffith-avenue-drumcondra-dublin-9/4796254
"67 Woodford Court. D22 ND66, Clondalkin, Dublin 22","€330,000",3 Bed,3 Bath,Terrace,B3,D22 ND66,€315,Ray Cooke Auctioneers Clondalkin,Southside Sales 2,"Sold, €412,000, Thu Sep 12 2024; Unlisted, €330,000, Mon Jan 29 2024; Created, €330,000, Fri Jan 26 2024",https://mynest.ie/listing/113546/Dublin/67-woodford-court-d22-nd66-clondalkin-dublin-22,"67 woodford court, Clondalkin, Dublin 22",Sold,3 beds,3 baths,125,,,,53.3200964,-6.377820499999999,0,m²,,,,,https://www.myhome.ie/residential/brochure/67-woodford-court-clondalkin-dublin-22/4770108
"64 Carton House, Ridgewood, Swords, Co. Dublin, K67CF68","€290,000",2 Bed,--,Apartment,C1,K67 CF68,€315,Sherry FitzGerald Swords,Michael Lenehan,"Sold, €332,030, Thu Sep 12 2024; Unlisted, €290,000, Mon May 20 2024; Created, €290,000, Wed May 01 2024",https://mynest.ie/listing/128118/Dublin/64-carton-house-ridgewood-swords-co-dublin-k67cf68,"64 Carton House, Ridgewood, Swords, Co. Dublin",Sold,2 beds,,64,,,,53.44610669999999,-6.2430268,0,m²,,,,,https://www.myhome.ie/residential/brochure/64-carton-house-ridgewood-swords-co-dublin/4791166
"57 Mount Andrew Court, Lucan, Co. Dublin, K78RY98","€290,000",2 Bed,1 Bath,Apartment,B2,K78 RY98,€315,DNG Lucan,Eoin Gorry,"Sold, €345,000, Thu Sep 12 2024; Sale Agreed, €290,000, Tue May 21 2024; Created, €290,000, Thu May 02 2024",https://mynest.ie/listing/128318/Dublin/57-mount-andrew-court-lucan-co-dublin-k78ry98,"57 Mount Andrew Court, Lucan, Co. Dublin",Sold,2 beds,,73,,,,53.3582171,-6.4118906,0,m²,,,,,https://www.myhome.ie/residential/brochure/57-mount-andrew-court-lucan-co-dublin/4792413
"56 Balally Drive, Dundrum, Dundrum, Dublin 16, D16NT63","€675,000",4 Bed,2 Bath,Semi-D,D2,D16 NT63,€675,O’Toole & Co,Gerard O'Toole,"Sold, €775,000, Thu Sep 12 2024; Sale Agreed, €675,000, Tue Jun 04 2024; Created, €675,000, Thu May 30 2024",https://mynest.ie/listing/133316/Dublin/56-balally-drive-dundrum-dundrum-dublin-16-d16nt63,"56 Balally Drive, Dundrum, Dublin 16",Sale Agreed,4 beds,2 baths,114,,,,53.28366459999999,-6.23165,0,m²,,,,,https://www.myhome.ie/residential/brochure/56-balally-drive-dundrum-dublin-16/4801839
"Apartment 51, The Willow, Parkview, Stepaside, Dublin 18, D18E896","€379,950",2 Bed,2 Bath,Apartment,B2,D18 E896,€405,Churches Estate Agents,Ben Thompson,"Sold, €385,000, Thu Sep 12 2024; Sale Agreed, €379,950, Wed Jul 03 2024; Relisted, €379,950, Thu Jun 13 2024; Sale Agreed, €379,950, Thu Jun 06 2024; Relisted, €379,950, Mon Apr 22 2024; Price Rise, €379,950, Mon Apr 22 2024; Sale Agreed, €374,950, Wed Feb 21 2024; Created, €374,950, Mon Jan 29 2024",https://mynest.ie/listing/113838/Dublin/apartment-51-the-willow-parkview-stepaside-dublin-18-d18e896,"51 The Willow, Parkview, Stepaside, Dublin 18",Sale Agreed,2 beds,2 baths,84,,,,53.2601841,-6.2238399,0,m²,,,,,https://www.myhome.ie/residential/brochure/51-the-willow-parkview-stepaside-dublin-18/4770380
"43 Hayestown, Rush, Co. Dublin","€319,950",2 Bed,1 Bath,Bungalow,D1,K56 Y206,€315,Leonard Wilson Keenan Estates & Letting Agents,Multi Award Winning Team Richard Todd,"Sold, €453,000, Thu Sep 12 2024; Unlisted, €319,950, Thu Apr 13 2023; Created, €319,950, Tue Apr 04 2023",https://mynest.ie/listing/66930/Dublin/43-hayestown-rush-co-dublin,"43 Hayestown, Rush, Dublin",Sale Agreed,2 beds,,,,,,53.5241245,-6.1130562,0,,,,,,https://www.myhome.ie/residential/brochure/43-hayestown-rush-dublin/4782178
"43 Hayestown, Rush, Co. Dublin, K56Y206","€365,000",2 Bed,1 Bath,Bungalow,D1,K56 Y206,€405,Leonard Wilson Keenan Estates & Letting Agents,Richard Todd,"Sold, €453,000, Thu Sep 12 2024; Unlisted, €365,000, Wed Feb 28 2024; Created, €365,000, Tue Feb 20 2024",https://mynest.ie/listing/116836/Dublin/43-hayestown-rush-co-dublin-k56y206,,,,,,,,,,,,,,,,,
"4 Mill Court Way, Clondalkin, Dublin 22, D22T1W3","€324,950",3 Bed,2 Bath,Semi-D,C1,D22 T1W3,€315,Leonard Wilson Keenan Estates & Letting Agents,Patrick Leonard,"Sold, €343,000, Thu Sep 12 2024; Unlisted, €324,950, Fri May 10 2024; Created, €324,950, Tue Apr 16 2024",https://mynest.ie/listing/125360/Dublin/4-mill-court-way-clondalkin-dublin-22-d22t1w3,,,,,,,,,53.31980919999999,-6.4213116,,,,,,,https://www.myhome.ie/residential/dublin-22/duplux-for-sale-in-clondalkin
"3 Mayfield Terrace, Ballinteer, Ballinteer, Dublin 16, D16EE71","€480,000",3 Bed,1 Bath,Terrace,D2,D16 EE71,€495,Wallace Auctioneers & Property Management,Martin Wallace,"Sold, €480,000, Thu Sep 12 2024; Sale Agreed, €480,000, Sun May 12 2024; Relisted, €480,000, Mon Feb 19 2024; Price Drop, €480,000, Mon Feb 19 2024; Unlisted, €510,000, Thu Feb 15 2024; Created, €510,000, Wed Sep 20 2023",,"14 Mayfield Terrace, Ballinteer, Dublin",Sold,3 beds,,62,,,,53.279497,-6.2457116,0,m²,,,,,https://www.myhome.ie/residential/brochure/14-mayfield-terrace-ballinteer-dublin/4635075
"Apartment 28, Saint Cathryn's Court, Newgrove Avenue, Sandymount, Dublin 4, D04T261","€550,000",2 Bed,1 Bath,Apartment,C2,D04 T261,€585,Bennetts,Marc McGrath,"Sold, €575,000, Thu Sep 12 2024; Sale Agreed, €550,000, Fri Aug 02 2024; Relisted, €550,000, Fri Jun 14 2024; Sale Agreed, €550,000, Wed Oct 25 2023; Created, €550,000, Mon Aug 21 2023",,"Apt 28 St. Cathryns Court, Newgrove Avenue, Sandymount, Dublin 4",Sold,2 beds,,93,,,,53.3316228,-6.211920800000001,0,m²,,,,,https://www.myhome.ie/residential/brochure/apt-28-st-cathryns-court-newgrove-avenue-sandymount-dublin-4/4729882
"23 Hunters Avenue, Hunters Wood, Ballycullen, Dublin 24, D24YP59","€305,000",2 Bed,2 Bath,Apartment,E1,D24 YP59,€315,Mark Kelly & Associates,Siobhan Liston,"Sold, €327,000, Thu Sep 12 2024; Sale Agreed, €305,000, Thu May 09 2024; Created, €305,000, Fri Apr 12 2024",https://mynest.ie/listing/124848/Dublin/23-hunters-avenue-hunters-wood-ballycullen-dublin-24-d24yp59,"23 Hunters Avenue, Hunters Wood, Ballycullen, Dublin 24",Sale Agreed,2 beds,2 baths,76,,,,53.2714416,-6.3307775,0,m²,,,,,https://www.myhome.ie/residential/brochure/23-hunters-avenue-hunters-wood-ballycullen-dublin-24/4785214
"19 Beechwood Park, Ranelagh, Dublin 6, D06C803","€875,000",3 Bed,2 Bath,Semi-D,G,D06 C803,€855,Sherry FitzGerald Ranelagh,Deirdre Hegarty,"Sold, €950,000, Thu Sep 12 2024; Sale Agreed, €875,000, Mon Jun 10 2024; Relisted, €875,000, Fri May 03 2024; Sale Agreed, €875,000, Fri Oct 13 2023; Created, €875,000, Thu Aug 24 2023",,,,,,,,,,53.3216276,-6.258680699999999,,,,,,,https://www.myhome.ie/priceregister/19-beechwood-road-ranelagh-dublin-6-1038659
"183 Charlemont, Griffith Avenue, Drumcondra, Dublin 9, D09E544","€525,000",3 Bed,1 Bath,Terrace,C3,D09 E5W4,€495,KELLY BRADSHAW DALTON,Sharon Beckett,"Sold, €530,000, Thu Sep 12 2024; Sale Agreed, €525,000, Wed Jul 24 2024; Created, €525,000, Tue May 21 2024",https://mynest.ie/listing/131480/Dublin/183-charlemont-griffith-avenue-drumcondra-dublin-9-d09e544,"186, Charlemont, Griffith Avenue, Drumcondra, Dublin 9",Sale Agreed,3 beds,,117,,,,53.3767085,-6.2333808,0,m²,,,,,https://www.myhome.ie/residential/brochure/186-charlemont-griffith-avenue-drumcondra-dublin-9/4791145
"17 Chalfont Road, Malahide, Co. Dublin, K36XC53","€845,000",4 Bed,2 Bath,Semi-D,D2,K36 XC53,€855,"Brophy Estates, Auctioneers and Estate Agents",John Brophy Assoc. SCSI RICS,"Sold, €860,000, Thu Sep 12 2024; Sale Agreed, €845,000, Thu May 09 2024; Created, €845,000, Thu Apr 18 2024",https://mynest.ie/listing/125799/Dublin/17-chalfont-road-malahide-co-dublin-k36xc53,"17 Chalfont Road, Malahide, County Dublin",Sale Agreed,4 beds,2 baths,154,,,,53.4521392,-6.1645184,0,m²,,,,,https://www.myhome.ie/residential/brochure/17-chalfont-road-malahide-county-dublin/4786431
"17 Beau Park Street, Clongriffin, Dublin 13","€395,000",3 Bed,2 Bath,Terrace,C1,D13 NN50,€405,Sherry FitzGerald Sutton,Ryan O'Connor,"Sold, €415,000, Thu Sep 12 2024; Unlisted, €395,000, Wed Nov 23 2022; Created, €395,000, Mon Oct 24 2022",https://mynest.ie/listing/29616/Dublin/17-beau-park-street-clongriffin-dublin-13,"17 Beau Park Street, Clongriffin, Dublin 13",Sold,3 beds,3 baths,105,,,,53.4019766,-6.151980399999999,0,m²,,,,,https://www.myhome.ie/residential/brochure/17-beau-park-street-clongriffin-dublin-13/4339053
"17 Beau Park Street D13 NN50, Clongriffin, Dublin 13, D13NN50","€415,000",3 Bed,3 Bath,Terrace,B3,D13 NN50,€405,Quillsen Fairview,Alison O' Hara,"Sold, €415,000, Thu Sep 12 2024; Sale Agreed, €415,000, Wed Feb 07 2024; Created, €415,000, Tue Jan 16 2024",https://mynest.ie/listing/112081/Dublin/17-beau-park-street-d13-nn50-clongriffin-dublin-13-d13nn50,"17 Beau Park Street, Clongriffin, Dublin 13",Sold,3 beds,3 baths,105,,,,53.4019766,-6.151980399999999,0,m²,,,,,https://www.myhome.ie/residential/brochure/17-beau-park-street-clongriffin-dublin-13/4339053
"12 Greenville Road, Blackrock, Co. Dublin, A94F585","€925,000",4 Bed,2 Bath,Semi-D,C1,A94 F585,€945,Sherry FitzGerald Blackrock,Joan O'Hanlon,"Sold, €1,175,000, Thu Sep 12 2024; Unlisted, €925,000, Thu Apr 25 2024; Created, €925,000, Wed Mar 06 2024",https://mynest.ie/listing/119112/Dublin/12-greenville-road-blackrock-co-dublin-a94f585,"12 Greenville Court, Stradbrook Road, Blackrock, Co. Dublin",Sold,2 beds,,63,,,,53.29363590000001,-6.1664543,0,m²,,,,,https://www.myhome.ie/residential/brochure/12-greenville-court-stradbrook-road-blackrock-co-dublin/4749817
"10 Holywell Crescent North, Swords, Co. Dublin","€249,950",2 Bed,2 Bath,Apartment,B3,K67 E176,€225,Flynn Estate Agents,Flynn & Associates Swords,"Sold, €290,000, Thu Sep 12 2024; Sale Agreed, €249,950, Wed Jun 21 2023; Created, €249,950, Fri May 12 2023",https://mynest.ie/listing/73824/Dublin/10-holywell-crescent-north-swords-co-dublin,"10 Holywell Crescent North, Swords, County Dublin",Sale Agreed,2 beds,2 baths,73,,,,53.4437562,-6.210971799999999,0,m²,,,,,https://www.myhome.ie/residential/brochure/10-holywell-crescent-north-swords-county-dublin/4771313
"Apartment 6, 45 Saint Anthony's Road, Rialto, Dublin 8, D08XD73","€350,000",2 Bed,2 Bath,Apartment,SI_666,D08 XD73,€315,Keller Williams Ireland,Team Castles,"Sold, €390,000, Wed Sep 11 2024; Sale Agreed, €350,000, Thu May 23 2024; Created, €350,000, Thu Mar 28 2024",https://mynest.ie/listing/122564/Dublin/apartment-6-45-saint-anthonys-road-rialto-dublin-8-d08xd73,"Apartment 6, 45 St Anthonys Road, Rialto, Dublin 8",Sold,2 beds,2 baths,,,,,53.3378317,-6.2936549,0,,,,,,https://www.myhome.ie/residential/brochure/apartment-6-45-st-anthonys-road-rialto-dublin-8/4782577
"80 Lakelands Close, Stillorgan, Co. Dublin, A94DW98","€695,000",4 Bed,2 Bath,Semi-D,F,A94 DW98,€675,Place Estate Agents,Place Estate Agents,"Sold, €723,000, Wed Sep 11 2024; Unlisted, €695,000, Wed Sep 18 2024; Relisted, €695,000, Wed Jun 19 2024; Sale Agreed, €695,000, Thu Jun 13 2024; Created, €695,000, Mon May 20 2024",https://mynest.ie/listing/131283/Dublin/80-lakelands-close-stillorgan-co-dublin-a94dw98,"80 Lakelands Close, Stillorgan, Co. Dublin",Sold,4 beds,2 baths,125,,,,53.2811781,-6.2146214,0,m²,,,,,https://www.myhome.ie/residential/brochure/80-lakelands-close-stillorgan-co-dublin/4798259
"8 Heathfield Park, Finglas, Finglas, Dublin 11, D11K0YH","€395,000",3 Bed,3 Bath,Terrace,A2,D11 K0YH,€405,Leonard Wilson Keenan Estates & Letting Agents,Patrick Leonard,"Sold, €400,000, Wed Sep 11 2024; Sale Agreed, €395,000, Tue May 28 2024; Created, €395,000, Fri Jan 26 2024",https://mynest.ie/listing/113684/Dublin/8-heathfield-park-finglas-finglas-dublin-11-d11k0yh,"8 Finglas Park, Finglas, Dublin 11",Sold,3 beds,,,,,,53.3947671,-6.321414799999999,0,,,,,,https://www.myhome.ie/residential/brochure/8-finglas-park-finglas-dublin-11/4780828
"5 Marina View, Dun Laoghaire, Co Dublin, A96YA07","€495,000",2 Bed,2 Bath,Apartment,B3,A96 YA07,€495,Sherry FitzGerald Dun Laoghaire,Jacqui McCabe,"Sold, €580,000, Wed Sep 11 2024; Unlisted, €495,000, Fri May 03 2024; Created, €495,000, Wed Mar 27 2024",https://mynest.ie/listing/122349/Dublin/5-marina-view-dun-laoghaire-co-dublin-a96ya07,"5 Marina View, Dun Laoghaire, Co. Dublin",,,,,,,,53.2953678,-6.1433825,,,,,,,https://www.myhome.ie/residential/brochure/5-marina-view-dun-laoghaire-co-dublin/4782096
"Apartment 4, The Sycamore, Parkview, Stepaside, Dublin 18, D18NA40","€375,000",2 Bed,2 Bath,Apartment,C1,D18 NA40,€405,Janet Carroll Estate Agent,Andrew Quirke MIPAV Assoc SCSI,"Sold, €385,000, Wed Sep 11 2024; Sale Agreed, €375,000, Tue Jun 25 2024; Relisted, €375,000, Wed Jun 05 2024; Sale Agreed, €375,000, Tue May 07 2024; Relisted, €375,000, Mon Apr 29 2024; Sale Agreed, €375,000, Tue Apr 16 2024; Created, €375,000, Thu Mar 14 2024",https://mynest.ie/listing/119920/Dublin/apartment-4-the-sycamore-parkview-stepaside-dublin-18-d18na40,"The Sycamore, Parkview, Stepaside, Dublin 18",Let Agreed,2 beds,2 baths,,,,,53.2602026,-6.2233227,0,,,,,,https://www.myhome.ie/rentals/brochure/the-sycamore-parkview-stepaside-dublin-18/2874183
"38 Dundela Avenue, Sandycove, Co. Dublin, A96X9W0","€995,000",4 Bed,2 Bath,Detached,E2,A96 X9W0,"€1,035",Janet Carroll Estate Agent,Janet Carroll MIPAV MMCEPI TRV,"Sold, €1,100,000, Wed Sep 11 2024; Unlisted, €995,000, Thu Apr 04 2024; Relisted, €995,000, Tue Mar 12 2024; Sale Agreed, €995,000, Fri Feb 16 2024; Relisted, €995,000, Tue Oct 31 2023; Sale Agreed, €995,000, Wed Oct 25 2023; Created, €995,000, Tue Sep 12 2023",https://mynest.ie/listing/123608/Dublin/38-dundela-avenue-sandycove-co-dublin-a96x9w0,"38 Dundela Avenue, Sandycove, County Dublin",Sold,4 beds,2 baths,161,,,,53.2833125,-6.1149492,0,m²,,,,,https://www.myhome.ie/residential/brochure/38-dundela-avenue-sandycove-county-dublin/4783657
"38 Dundela Avenue, Sandycove, Co. Dublin, A96X9W0","€995,000",4 Bed,2 Bath,Detached,E2,A96 X9W0,"€1,035",Janet Carroll Estate Agent,Janet Carroll MIPAV MMCEPI TRV,"Sold, €1,100,000, Wed Sep 11 2024; Sale Agreed, €995,000, Mon Apr 29 2024; Created, €995,000, Fri Apr 05 2024",https://mynest.ie/listing/123608/Dublin/38-dundela-avenue-sandycove-co-dublin-a96x9w0,"38 Dundela Avenue, Sandycove, County Dublin",Sold,4 beds,2 baths,161,,,,53.2833125,-6.1149492,0,m²,,,,,https://www.myhome.ie/residential/brochure/38-dundela-avenue-sandycove-county-dublin/4783657
"36 Dorney Court, Shankill, Dublin 18, D18N2N0","€524,950",3 Bed,2 Bath,Semi-D,C1,D18 N2N0,€495,Churches Estate Agents,Blackrock Office,"Sold, €660,000, Wed Sep 11 2024; Sale Agreed, €524,950, Mon Jul 08 2024; Created, €524,950, Tue Jun 11 2024",https://mynest.ie/listing/135328/Dublin/36-dorney-court-shankill-dublin-18-d18n2n0,"36 Dorney Court, Shankill, County Dublin",Sold,3 beds,2 baths,104,,,,53.2313859,-6.11982,0,m²,,,,,https://www.myhome.ie/residential/brochure/36-dorney-court-shankill-county-dublin/4805003
"33 Waterside Court, Swords Road, Malahide, Co. Dublin, K36DY72","€449,000",3 Bed,2 Bath,Terrace,B2,K36 DY72,€495,PropertyTeam Paul Reddy,Paul Reddy,"Sold, €445,000, Wed Sep 11 2024; Sale Agreed, €449,000, Tue Jul 02 2024; Price Drop, €449,000, Fri Jun 07 2024; Relisted, €465,000, Fri Apr 12 2024; Price Rise, €465,000, Fri Apr 12 2024; Sale Agreed, €445,000, Fri Feb 02 2024; Price Drop, €445,000, Thu Dec 14 2023; Created, €450,000, Wed Oct 25 2023",https://mynest.ie/listing/102130/Dublin/33-waterside-court-swords-road-malahide-co-dublin-k36dy72,"33 Waterside Court, Malahide, Dublin",Sale Agreed,3 beds,2 baths,119,,,,53.451632,-6.198630800000001,0,m²,,,,,https://www.myhome.ie/residential/brochure/33-waterside-court-malahide-dublin/4750461
"23A Bellevue Avenue, Glenageary, Co. Dublin, A96HF60","€495,000",4 Bed,2 Bath,Duplex,D1,A96 HF60,€495,DNG Dun Laoghaire,David Dobbs,"Sold, €493,000, Wed Sep 11 2024; Unlisted, €495,000, Mon Mar 25 2024; Price Drop, €495,000, Thu Mar 14 2024; Created, €525,000, Tue Aug 29 2023",,"23a Bellevue Avenue, Glenageary, Co. Dublin",Sold,4 beds,2 baths,113.4,,,,53.2747234,-6.126634,0,m²,,,,,https://www.myhome.ie/residential/brochure/23a-bellevue-avenue-glenageary-co-dublin/4798354
